objectid,cdmid,title,bill_number,public_act_number,format,date_published
cdm148612,148612,Public Act,1975-HB-5314,1976-PA-390,application/pdf,1976
cdm148501,148501,Senate Journal Entries,1975-HB-5314,1976-PA-390,application/pdf,1976
cdm148503,148503,House Journal Entries,1975-HB-5314,1976-PA-390,application/pdf,1976
cdm148498,148498,Bill Analysis,1975-HB-5314,1976-PA-390,application/pdf,1975-07-29
cdm148502,148502,Bill Analysis,1975-HB-5314,1976-PA-390,application/pdf,1975-06-05
cdm148699,148699,Enrolled Bill,1975-HB-5314,1976-PA-390,application/pdf,1976
cdm148701,148701,Introduced Bill,1975-HB-5314,1976-PA-390,application/pdf,1975-06-05
cdm148499,148499,Bill Analysis,1975-HB-5314,1976-PA-390,application/pdf,1975-07-29
cdm92960,92960,Bill Analysis,1993-SB-260,1993-PA-270,application/pdf,1993-02-10
cdm92961,92961,Bill Analysis,1993-SB-260,1993-PA-270,application/pdf,1993-11-23
cdm92962,92962,Bill Analysis,1993-SB-260,1993-PA-270,application/pdf,1994-04-14
cdm92963,92963,Bill Analysis,1993-HB-4591,1993-PA-252,application/pdf,1994-06-27
cdm93378,93378,Bill Analysis,1995-SB-604;1995-SB-749;1995-SB-750;1995-SB-751,1996-PA-305;1996-PA-306;1996-PA-307;1996-PA-308,application/pdf,1996-01-30
cdm93379,93379,Bill Analysis,1995-SB-604;1995-SB-749;1995-SB-750;1995-SB-751,1996-PA-305;1996-PA-306;1996-PA-307;1996-PA-308,application/pdf,1996-05-21
cdm93380,93380,Bill Analysis,1995-SB-604;1995-SB-749;1995-SB-750;1995-SB-751,1996-PA-305;1996-PA-306;1996-PA-307;1996-PA-308,application/pdf,1996-06-24
cdm93405,93405,Bill Analysis,1981-SB-242,1981-PA-155,application/pdf,1981-10-26
cdm93433,93433,Bill Analysis,1995-SB-525,1995-PA-290,application/pdf,1995-06-14
cdm93434,93434,Bill Analysis,1995-SB-525,1995-PA-290,application/pdf,1995-12-05
cdm93435,93435,Bill Analysis,1995-SB-525,1995-PA-290,application/pdf,1996-02-09
cdm93462,93462,Bill Analysis,1989-SB-568,1990-PA-1,application/pdf,1990-01-16
cdm93463,93463,Bill Analysis,1989-SB-568,1990-PA-1,application/pdf,1990-06-11
cdm93466,93466,Bill Analysis,1993-SB-48;1993-SB-49;1993-SB-50;1993-SB-51;1993-SB-52;1993-SB-346;1993-SB-568,1993-PA-195;1993-PA-196;1993-PA-197;1993-PA-198;1993-PA-199;1993-PA-200;1993-PA-201,application/pdf,1993-05-11
cdm93467,93467,Bill Analysis,1993-SB-48;1993-SB-49;1993-SB-50;1993-SB-51;1993-SB-52;1993-SB-346;1993-SB-568,1993-PA-195;1993-PA-196;1993-PA-197;1993-PA-198;1993-PA-199;1993-PA-200;1993-PA-201,application/pdf,1993-09-15
cdm93468,93468,Bill Analysis,1993-SB-48;1993-SB-49;1993-SB-50;1993-SB-51;1993-SB-52;1993-SB-346;1993-SB-568,1993-PA-195;1993-PA-196;1993-PA-197;1993-PA-198;1993-PA-199;1993-PA-200;1993-PA-201,application/pdf,1994-08-18
cdm93470,93470,Bill Analysis,1993-HB-4534,1993-PA-249,application/pdf,1993-07-20
cdm93471,93471,Bill Analysis,1993-HB-4534,1993-PA-249,application/pdf,1993-03-30
cdm93505,93505,Bill Analysis,1991-HB-4761;1991-HB-4762;1991-HB-4763;1991-HB-4764;1991-HB-4765;1991-HB-4766;1991-HB-4767;,1991-PA-47;1991-PA-48;1991-PA-49;1991-PA-50;1991-PA-51;1991-PA-52;1991-PA-53;1991-PA-54,application/pdf,1991-06-04
cdm93506,93506,Bill Analysis,1991-HB-4761;1991-HB-4762;1991-HB-4763;1991-HB-4764;1991-HB-4765;1991-HB-4766;1991-HB-4767;1991-HB-4768;1991-HB-4884,1991-PA-46;1991-PA-47;1991-PA-48;1991-PA-49;1991-PA-50;1991-PA-51;1991-PA-52;1991-PA-53;1991-PA-54,application/pdf,1991-06-10
cdm93507,93507,Bill Analysis,1991-HB-4761;1991-HB-4762;1991-HB-4763;1991-HB-4764;1991-HB-4765;1991-HB-4766;1991-HB-4767;1991-HB-4884,1991-PA-46;1991-PA-47;1991-PA-48;1991-PA-49;1991-PA-50;1991-PA-51;1991-PA-52;1991-PA-53,application/pdf,1991-08-01
cdm93728,93728,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-02-16
cdm93729,93729,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-06-14
cdm93731,93731,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-06-04
cdm93732,93732,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-07-06
cdm93733,93733,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-05-22
cdm93734,93734,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-02-28
cdm93735,93735,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-03-13
cdm93736,93736,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-03-20
cdm93757,93757,Bill Analysis,1976-SB-1672,1976-PA-449,application/pdf,1976-12-30
cdm93758,93758,Bill Analysis,1976-SB-1672,1976-PA-449,application/pdf,1976-09-21
cdm93759,93759,Bill Analysis,1976-SB-1672,1976-PA-449,application/pdf,1976-12-06
cdm93761,93761,Bill Analysis,1984-SB-611,1984-PA-344,application/pdf,1984-12-19
cdm93762,93762,Bill Analysis,1984-SB-611,1984-PA-344,application/pdf,1984-02-03
cdm93764,93764,House Bills,1996-HB-5748,1996-PA-326,application/pdf,1979
cdm93765,93765,Bill Analysis,1996-HB-5748;1996-HB-5749;1996-HB-5750;1996-HB-5751;1996-HB-5752;1996-HB-5753;1996-HB-5754;1996-HB-5755,1996-PA-326;1996-PA-327;1996-PA-328;1996-PA-329;1996-PA-330;1996-PA-331;1996-PA-332;1996-PA-333,application/pdf,1996-05-07
cdm93766,93766,Bill Analysis,1996-HB-5748;1996-HB-5749;1996-HB-5750;1996-HB-5751;1996-HB-5752;1996-HB-5753;1996-HB-5754;1996-HB-5755,1996-PA-326;1996-PA-327;1996-PA-328;1996-PA-329;1996-PA-330;1996-PA-331;1996-PA-332;1996-PA-333,application/pdf,1996-08-05
cdm93767,93767,House Bills,1996-HB-5748,1996-PA-326,application/pdf,1996-06-13
cdm93768,93768,House Bills,1996-HB-5748,1996-PA-326,application/pdf,1996-04-25
cdm93770,93770,Bill Analysis,1985-HB-4059;1985-HB-4060;1985-HB-4061;1985-HB-4062;1985-HB-4063;1985-HB-4064;1985-HB-4065;1985-HB-4066;1985-HB-4067,1985-PA-34;1985-PA-35;1985-PA-36;1985-PA-37;1985-PA-38;1985-PA-39;1985-PA-40;1985-PA-41;1985-PA-42,application/pdf,1985-02-20
cdm94184,94184,Bill Analysis,1973-SB-698,1974-PA-154,application/pdf,1974
